item_id,brand,custom_label,current_quantity
175973667774,Base PG,GL1127,20
175973668592,Premium,GL1127,20
166444996556,Base PG,GL1128,20
166445089363,Premium,GL1128,20
176040502870,Base PG,GL1129,20
176040586905,Premium,GL1129,20
176040502876,Base PG,GL1131,20
166445089357,Premium,GL1131,20
155895646154,Base PG,GL1132,20
176040586907,Premium,GL1132,20
155895646151,Base PG,GL1133,20
166445089359,Premium,GL1133,20
166385616165,Base PG,GL1134,20
166385620353,Premium,GL1134,20
175973667780,Base PG,GL1138,20
155837876238,Premium,GL1138,20
166444996560,Base PG,GL1154,20
155895731791,Premium,GL1154,20
155895646158,Base PG,GL1156,20
176040586913,Premium,GL1156,20
176065458683,Base PG,GL1157,20
166467950851,Premium,GL1157,20
175973667776,Base PG,GL1162,20
175973668595,Premium,GL1162,20
155837872009,Base PG,GL1163,20
166385620362,Premium,GL1163,20
175973667773,Base PG,GL1166,20
175973668594,Premium,GL1166,20
175973667778,Base PG,GL1167,20
175973668596,Premium,GL1167,20
166385616164,Base PG,GL1168,0
166385620378,Premium,GL1168,0
155837872015,Base PG,GL1169,20
166385620371,Premium,GL1169,20
176040502875,Base PG,GL1170,20
176040586908,Premium,GL1170,20
155837872016,Base PG,GL1171,20
175973668598,Premium,GL1171,20
166444996564,Base PG,GL1174,20
166445089358,Premium,GL1174,20
166444996559,Base PG,GL1175,20
176040586915,Premium,GL1175,20
176065458656,Base PG,GL1189,20
166467950849,Premium,GL1189,20
155917074106,Base PG,GL1191,20
155917074945,Premium,GL1191,20
176065458679,Base PG,GL1205,20
166467950848,Premium,GL1205,20
155917074134,Base PG,GL1211,20
166467950850,Premium,GL1211,20
166467950239,Base PG,GL1213,20
176065460718,Premium,GL1213,20
155895646153,Base PG,GL1218,20
155895731790,Premium,GL1218,20
166444996566,Base PG,GL1219,20
176040586911,Premium,GL1219,20
176040502879,Base PG,GL1220,20
176040586914,Premium,GL1220,20
176040502878,Base PG,GL1230,20
176040586912,Premium,GL1230,20
155895646160,Base PG,GL1233,20
166445089360,Premium,GL1233,20
155837872011,Base PG,GL1234,20
175973668600,Premium,GL1234,20
176065458669,Base PG,GL1252+GL1253,20
176065460725,Premium,GL1252+GL1253,20
176065458658,Base PG,GL1253,20
176065460728,Premium,GL1253,20
176065458682,Base PG,GL1261,20
176065460720,Premium,GL1261,20
155917074109,Base PG,GL1262,20
155917074949,Premium,GL1262,20
155895646157,Base PG,GL1275,20
176040586916,Premium,GL1275,20
176040502874,Base PG,GL1290,20
166445089365,Premium,GL1290,20
166444996567,Base PG,GL1294,20
155895731795,Premium,GL1294,20
155917074141,Base PG,GL1295,20
155917074953,Premium,GL1295,20
176040502877,Base PG,GL1305,20
166445089361,Premium,GL1305,20
155895646156,Base PG,GL1306,20
166445089366,Premium,GL1306,20
166385616169,Base PG,GL1320,20
166385620383,Premium,GL1320,20
155917060098,Base PG,HEAD001,20
166467934932,Premium,HEAD001,20
155895650400,Base PG,HEAD002,20
155895731774,Premium,HEAD002,20
155895650401,Base PG,HEAD003,20
176040586892,Premium,HEAD003,20
166444999281,Base PG,HEAD004,20
166445089339,Premium,HEAD004,20
166444999282,Base PG,HEAD005,20
166445089349,Premium,HEAD005,20
166444996544,Base PG,HIP001,0
155895731779,Premium,HIP001,0
176040502858,Base PG,HSP001,20
176040586896,Premium,HSP001,20
166444996552,Base PG,HSP001+HSP002,20
176040586888,Premium,HSP001+HSP002,20
155895646136,Base PG,HSP002,20
176040586895,Premium,HSP002,20
176040502865,Base PG,LINK27,20
166445089348,Premium,LINK27,20
166444996546,Base PG,LINK27+WM42,20
155895731781,Premium,LINK27+WM42,20
166467934789,Base PG,LINK28,20
155917060510,Premium,LINK28,20
166467934790,Base PG,LINK29,20
155917060509,Premium,LINK29,20
155895646143,Base PG,LINK30,20
176040586891,Premium,LINK30,20
176040502855,Base PG,LINK30+WM51,0
166445089342,Premium,LINK30+WM51,0
155917060102,Base PG,LINK4,20
166467934934,Premium,LINK4,20
166467934798,Base PG,LK18,20
166467934936,Premium,LK18,20
166467934802,Base PG,LK19,20
166467934939,Premium,LK19,20
155917060112,Base PG,LK21,20
155917060526,Premium,LK21,20
166467934804,Base PG,LK22,20
176065438396,Premium,LK22,20
155917060099,Base PG,LK24,20
155917060512,Premium,LK24,20
176065438206,Base PG,LK25,20
176065438403,Premium,LK25,20
166467934794,Base PG,LK26,20
166467934937,Premium,LK26,20
166467934795,Base PG,LK27,20
176065438408,Premium,LK27,20
166467934796,Base PG,LK28,20
155917060515,Premium,LK28,20
166444996549,Base PG,MAN007,20
166445089350,Premium,MAN007,20
155913083150,Base PG,MFP003,20
176061147913,Premium,MFP003,20
155913083157,Base PG,MFP004,20
166464102848,Premium,MFP004,20
176061147641,Base PG,MFP005,20
166464102842,Premium,MFP005,20
166464102647,Base PG,MFP006,20
166464102849,Premium,MFP006,20
176061147651,Base PG,MFP007,20
166464102851,Premium,MFP007,20
155913083155,Base PG,MFP008,20
176061147935,Premium,MFP008,20
155913083160,Base PG,MFP009,20
176061147912,Premium,MFP009,20
176061147648,Base PG,MFP010,20
155913083368,Premium,MFP010,20
155913083158,Base PG,MFP011,20
176061147910,Premium,MFP011,20
155913083164,Base PG,MFP012,20
166464102841,Premium,MFP012,20
166464102652,Base PG,MFP013,0
155913083365,Premium,MFP013,0
155913083165,Base PG,MFP014,20
176061147921,Premium,MFP014,20
176061147656,Base PG,MFP015,20
155913083375,Premium,MFP015,20
176061147654,Base PG,MFP016,20
176061147911,Premium,MFP016,20
166464102650,Base PG,MFP017,20
176061147923,Premium,MFP017,20
155913083166,Base PG,MFP018,20
166464102844,Premium,MFP018,20
166464102655,Base PG,MFP019,20
176061147924,Premium,MFP019,20
176061147661,Base PG,MFP020,20
166464102843,Premium,MFP020,20
166464102654,Base PG,MFP021,20
155913083366,Premium,MFP021,20
166464102656,Base PG,MFP022,20
155913083371,Premium,MFP022,20
155913083170,Base PG,MFP023,20
176061147916,Premium,MFP023,20
176061147670,Base PG,MFP024,20
176061147915,Premium,MFP024,20
176061147673,Base PG,MFP025,20
176061147927,Premium,MFP025,20
176061147666,Base PG,MFP027,20
176061147914,Premium,MFP027,20
155913083169,Base PG,MFP028,20
155913083376,Premium,MFP028,20
176061147668,Base PG,MFP029,20
166464102845,Premium,MFP029,20
155913083172,Base PG,MFP030,20
176061147926,Premium,MFP030,20
176061147672,Base PG,MFP032,20
166464102856,Premium,MFP032,20
155913083176,Base PG,MFP033,20
155913083370,Premium,MFP033,20
166464102665,Base PG,MFP034,20
166464102846,Premium,MFP034,20
155913083179,Base PG,MFP035,20
